,link,title,price,rating,ratingCount,stock,description,size,color,material,filter type,gender,disposability,earloop
0,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_hpc_sr_pg1_1?ie=UTF8&adId=A08174843Q6NQRNU5TQL8&url=%2FHygenix-Disposable-Filter-Tested-Nelson%2Fdp%2FB089TX3BPY%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618895905%26s%3Dhpc%26sr%3D1-1-spons%26psc%3D1%26smid%3DA1W8CLML2J3Z1B&qualifier=1618895905&id=1481850770321088&widgetName=sp_atf,Hygenix 3ply Disposable Face Masks PFE 99% Filter Tested by Nelson Labs USA (Pack of 50 Pcs),,4.5 out of 5 stars,"6,038 ratings",In Stock.," 50 Pcs Latex Free Disposable Premium Quality tested face masks (2 packaging types are in circulation, please see images for more) Protects nose and mouth against fluids, Fluid-Resistant at a pressure of 160 mmHg Tested by Nelson Labs in the USA. Full reports available upon request! Premium Filter protects against 99% of particles larger then 0.1 μm, PFE filter Efficiency = 99% Tested by Nelson Labs in the USA. Full reports available upon request! These masks are manufactured in a class 100,000 cleanroom to uphold the maximum quality standards. These masks should be disposed of after each use. Shelf live 2 years. Test reports available in the images, Need full reports? contact us and we will provide you these! (Tested by Nelson Labs in the USA and made in China by a Dutch owned brand and manufacturing facility).","large, ",red,NA,NA,mens,disposable,NA
1,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_hpc_sr_pg1_1?ie=UTF8&adId=A0434125T2S53KURNNM6&url=%2FComix-Face-Mask-3-Layer-Black-Disposable%2Fdp%2FB08GJRDC3B%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618895905%26s%3Dhpc%26sr%3D1-2-spons%26psc%3D1&qualifier=1618895905&id=1481850770321088&widgetName=sp_atf,"Disposable Face Mask,Face Masks of 50 Pack Disposable Mask",,4.7 out of 5 stars,"4,918 ratings",In Stock.," Non Woven Melt Blown Fabric Imported 3 layers closure 3-Ply Black Face Masks, each 10pcs Sealed in One Individual Bag and Total 50pcs in Giftbox. Easy to Use. These Face masks are not intended for medical use. Made with 3-Layer non-woven fabric for effective airway protection from small particles and droplets. Soft, non-irritating, comfortable and breathable. Adjustable earloop and metal nose clip fits for most of faces. Protect ourselves and our loved ones with this disposable face masks in various environments such as home, office, school, gardening, construction, and also the work places as other public areas to help protect from allergens, dust. All these masks are for one time use and recommend to replace by each 4 hours.","small, ",black,non-woven melt-spray,3-ply,mens,disposable,adjustable
2,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_hpc_sr_pg1_1?ie=UTF8&adId=A040705217WMKR4NJM6GQ&url=%2FEfficiency%25E2%2589%25A595-WWDOLL-Protection-Against-Haze-Proof%2Fdp%2FB08JQNGX19%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dface%2Bmask%26qid%3D1618895905%26s%3Dhpc%26sr%3D1-3-spons%26psc%3D1%26smid%3DA3M1QDT641ZGEO&qualifier=1618895905&id=1481850770321088&widgetName=sp_atf,"KN95 Face Mask 25 Pack, Filter Efficiency≥95%, WWDOLL 5-Ply Black KN95 Masks Protection Against PM2.5 Dust, Pollen and Haze-Proof KN95 Mask Black",,4.6 out of 5 stars,"22,958 ratings",In Stock.," ✅【5-Layer Face Mask】WWDOLL KN95 5-ply face mask is protective and high filter efficiency. The outermost 1 layer non-woven fabric can filter large particles, middle 2-layer melt-blown fabric can block more then 95% particles, 1 layer hot air cotton can filter pm2.5 and the innermost 1 layer non-woven fabric is skin-friendly and softer that give you the comfortable usage experience at the same time it protects your breath with high filter efficiency. ✅【Powerful Protective Barrier】 Not easy to drop, no need to adjust it when you work. Softer elastic ear loop design of the face mask helps eliminate pressure on the ears for comfortable experience. Adjustable nose clip design can help the mask perfectly attach onto your face. This The four sides join tightly to the face; Hence, the protective mask KN95 avoids unfiltered air directly entering into. ✅【3D Design】 The 3D shape of KN95 cup dust mask is designed according to the human face shape to ensure the tightness, to fit the human face, to increase the breathing volume when use the face mask. Our WWDOLL breathable face mask KN95 can greatly improve the permeability, and to make wearing and exhaling more comfortable. ✅【Portable】A lightweight and foldable design makes these face masks easy to fold into your bag, easy to incorporate and save space. You can carry with you to any where you want to go. They are a great choice to take along when you will be among people and want to stay safe. Note: we design the same universal package for all face mask, the mask model image in the package not status for the product color but its shape. ✅【Widely Applicable】 Our KN95 face mask 25 pack are unisex and all one size. A lightweight and foldable design makes these face masks easy to fold into your bag, easy to incorporate and save space. They can be applied in home, office, school, park, playground, indoors, outdoors and more congested and busy public places. Disclaimer: This KN95 mask is NOT an N95 mask and NOT NIOSH approved. For more information about KN95 masks please see the following before you purchase: amazon.com/AboutKN95s","universal, large, ",various,non-woven melt-spray,kn95,unisex,NA,elastic
3,/Disposable-Effective-Filtration-Earloops-Outdoors/dp/B08HMDH2YD/ref=sr_1_4?dchild=1&keywords=face+mask&qid=1618895905&s=hpc&sr=1-4,"Premium Pack of 100 Single Use Disposable Face Mask, Effective Filtration, Soft on Skin, Bulk Pack 3-Ply Masks Facial Cover with Elastic Earloops For Home, Office, School, and Outdoors (100 Pack Blue)",,4.6 out of 5 stars,"2,166 ratings",In Stock.," HIGH QUALITY PRODUCT: The Face Masks are gentle on the skin and feel comfortable and easy to put on and take off, Our high-quality filtering face masks ensure a physical barrier to smoke, droplets, dirt, dust and powder, It can help block pollution so you can breathe easily and safely in any environment, they are disposable so you don’t have to worry about washing or storing them. FLEXIBLE AND COMFORTABLE: These disposable masks are designed to be lightweight and breathable, With the feature of unfolding and expanding, the face masks will ensure full coverage of your nose and mouth, while the soft elastic ear loops will not cause discomfort or irritation, Just slip the elastic bands over your ears and press the metal strip around the bridge of your nose to create a light seal around your face. WIDELY USABLE: Breathable Non-Woven Mouth Cover for Personal, Suitable for Home, Office, Outdoor and other public places such as Commuting, Gardening, Short trips, Driving, Sports, and Outdoors. 100% SATISFACTION GUARANTEE: Your safety and health are our Concerns, Please feel free to contact us if you have any questions. We will do whatever is necessary to resolve your problem to ensure you get the best shopping experience. This mask is not intended for medical use, and not proven to reduce the transmission of disease",universal,various,non-woven melt-spray,3-ply,mens,disposable,elastic
4,/100pcs-Disposable-Breathable-Filter-Elastic/dp/B08GSNTTNR/ref=sr_1_5?dchild=1&keywords=face+mask&qid=1618895905&s=hpc&sr=1-5,"Black Face Mask,100pcs Disposable Masks Breathable 3 Layer Dust Filter Masks Mouth Cover with Elastic Ear Loop for Adult Men & Women",,4.5 out of 5 stars,"15,842 ratings",In Stock.," Health-care Use: These face masks can be used for daily protection, but should not be used in surgical or high risk situations 3 Layers of Protection: Made of high-quality non-woven material, the balck disposable masks are skin-friendly,stronger filtering effect and more breathable Universal Design: The Extra-soft elastic ear loops could eliminate pressure to the ears for maximum comfort. It can be used with earloop holders for additional comfort. High-quality fiber is also extremely breathable Easy to Use: Hold the elastic bands over your ears and press the metal strip around your nose to create a light seal around your face General Size Mask - One size for most adult men or women, also suitable for teenagers.It’s a best protection to wear it when you in office, travel through congested airports, malls, bus terminals, party and busy city streets","universal, adult, ",black,non-woven melt-spray,3 layer,unisex,disposable,elastic
5,/100pcs-Black-Disposable-3-ply-Breathable/dp/B08LL3MP1J/ref=sr_1_6?dchild=1&keywords=face+mask&qid=1618895905&s=hpc&sr=1-6,100pcs Black Disposable Face Mask 3-ply Black Face Masks Breathable,,4.7 out of 5 stars,"19,130 ratings",In Stock.," ❤ 3 Ply Black Disposable Face Mask Breathable Black Face Masks. ❤ Material : Non-woven Fabric for Day-to-day use. ❤ Suitable for homes, offices and other private places, also for schools, outdoor and travel use. ❤ Comfortable elastic earloop, extra-soft ear loops eliminate pressure to the ears, cover the face from the nose to the chin, achieving a good seal without tightness. Hard to break, comfortable and easy to carry. ❤ Outer layer is effective waterproof; Middle layer stop particles; Inner skin-friendly layer absorb the moisture from the breath, which makes it breathable and comfortable to wear. This Mask can protect your breathing well.",universal,black,non-woven melt-spray,3-ply,unisex,disposable,elastic
6,/50pcs-Black-Disposable-Masks-Breathable/dp/B08LK9G2QV/ref=sr_1_6?keywords=face+mask&qid=1618895905&s=hpc&sr=1-6,50pcs Black Disposable Face Masks Breathable 3-ply Mask,$7.64 ,4.7 out of 5 stars,"19,130 ratings",In Stock.," ❤ Black Disposable Face Masks Breathable 3 Ply Mask. ❤ Material : Non-woven Fiber Fabric for Day-to-day use. ❤ Suitable for homes, offices and other private places, also for schools, outdoor and travel use. ❤ Comfortable elastic earloop, extra-soft ear loops eliminate pressure to the ears, cover the face from the nose to the chin, achieving a good seal without tightness. Hard to break, comfortable and easy to carry. ❤ Outer layer is effective waterproof ; Middle layer stop particles; Inner skin-friendly layer absorb the moisture from the breath, which makes it breathable and comfortable to wear. it protect your breathing well .",universal,black,non-woven melt-spray,3-ply,unisex,disposable,elastic
7,/dp/B08D88VZNJ/ref=sr_1_6?keywords=face+mask&qid=1618895905&s=hpc&sr=1-6,500pcs Disposable face Mask Black 3-ply Masks,,4.7 out of 5 stars,"19,130 ratings",In stock.," ❤ Black Disposable Face Breathable 3 Ply. ❤ Material : Non-woven Fabric for Day-to-day use. ❤ Suitable for homes, offices and other private places, also for schools, outdoor and travel use. ❤ Comfortable elastic earloop, extra-soft ear loops eliminate pressure to the ears, cover the face from the nose to the chin, achieving a good seal without tightness. Hard to break, comfortable and easy to carry. ❤ Outer layer is effective waterproof, Middle layer stop particles; Inner skin-friendly layer absorb the moisture from the breath, which makes it breathable and comfortable to wear. it protect your breathing well.",universal,black,non-woven melt-spray,3-ply,unisex,disposable,elastic
8,/WAPIKE-Black-Disposable-Filter-Protection/dp/B08SLVLB63/ref=sr_1_7?dchild=1&keywords=face+mask&qid=1618895905&s=hpc&sr=1-7,"WAPIKE Black Face Masks, 100 Pcs Black Disposable Face Masks 3 Ply Filter Protection",,4.6 out of 5 stars,"10,245 ratings",In Stock.," 100pcs black Disposable Face Masks: 3-ply With Elastic Earloops for Day-to-day protection, it has a stronger filtering effect and is more breathable Black Mask: 3 Layers of Material, so you can breathe easily and safely in any environment. Disposable Mask: Easy to use--Keep Mask: it is Made of environmental friendly material. Universal fitted elastic ear loops for a variety of users for instant protection Widely use: great for outdoor public areas, schools, offices, and home usage.","universal, ",black,NA,3-ply,mens,disposable,elastic
9,/HY-Disposable-Face-Mask-Pack/dp/B088RKVB4R/ref=sr_1_8?dchild=1&keywords=face+mask&qid=1618895905&s=hpc&sr=1-8,"HY General Use Disposable Face Mask (3 Ply), Pack of 100",,4.7 out of 5 stars,238 ratings,In Stock.," This is a general use face mask and is not intended for medical use. These masks should be disposed after each use Masks feature 3 layers of filtration (3-Ply): 1 melt-blown polypropylene filtration layer surrounded by 2 non-woven spunbond waterproof fabric layers Each mask comes with an adjustable nose clip and elastic ear loops to ensure a comfortable fit, The masks are hypoallergenic and glass fiber free Box of 100 masks (contains two packs of 50 masks each)",universal,NA,non-woven melt-spray,3-ply,unisex,disposable,elastic
