,Unnamed: 0,link,title,price,rating,ratingCount,stock,description,size,color,material,filter type,gender,disposability,earloop,score
421,421,/Adjustable-Reusable-Washable-Filter-Pocket/dp/B08FZ2W88F/ref=sr_1_301?dchild=1&keywords=face+mask&qid=1618899098&s=hpc&sr=1-301,Cloth Face Mask Washable Face Mask with Nose Wire | 3 Layer Comfortable 100% Cotton and Adjustable Adult Masks (2 Pack),,4.4 out of 5 stars,975 ratings,In Stock.," ✔️ PREMIUM QUALITY: A 3-D comfortable lightweight reusable face mask for adults and large teens. 100% BCI OEKO-TEX certified cotton, PPE gauze triple layer facemask is treated with DuPont Silvadur Technology for fabric sustainability and airborne pollutants particle control. ✔️ EXCEPTIONAL FEATURES IN ONE MASK: Reuseable face masks are optimized with sturdy nose bridge wire to reduce fogging for glasses wearers. adjustable elastic ear loops to avoid sliding off and gives full chin coverage. Engineered to provide an optional filter pocket for extra protection in a crowded and extreme polluted area. ✔️ HIGH PROTECTION PERFORMANCE: Safety nano 3 ply men face mask is treated with silvadur technology to reduce odors from sweat and preserve fabric sustainability. Ideal gym workout masks are machine washable and reusable, it remains high performance after 30+ washes. ✔️ULTIMATE USAGE: Stand out from the crowd with engineered designer cloth facemask: Fashion masks, blank, solid colors or floral patterns are available. Premium quality travel mask material that can provide a comfortable protective layer suitable for cycling, camping, running, traveling, climbing and daily use. ✔️100% CUSTOMER SATISFACTION: Adult size fits most large teens and adults. Wear cloth face coverings in public settings and wash after each use of face mask pack. We care for our customers' satisfaction, each mask is individually packed and responsibly made.","large, adult, ",various,cotton,filter pocket,mens,reusable,elastic,7
609,609,/HONYAO-Face_Mask-Washable-Adjustable-Face_Masks/dp/B089Y65RCK/ref=sr_1_440?dchild=1&keywords=face+mask&qid=1618899497&s=hpc&sr=1-440,"HONYAO Cloth Face_Mask Pure Cotton Face_Mask with Filter Pocket and Nose Wire, Adjustable Ear Loops,3 Layers (4 Pcs)",$13.59 ,4.5 out of 5 stars,"3,145 ratings",In Stock.," 100% Cotton 💨High-quality materials: These 3 layers covers are made from high quality material.The inner side is designed to store filters, and the blocking effect is particularly excellent. It is very comfortable to wear and very good-looking for ladies, and it is also very good with clothing. 💨Broad applicability: 8.26 * 4.72 inches (Large),this size fits most adults with normal face.This face covering will protect you from outdoor, cold, ash, fog, haze, vehicle exhaust, passive smoking and so on. 💨Convenience and hygiene: Washable and reusable, light weight, easy to carry around, durable and practical for your daily use.A product covering the entire face can effectively prevent sunburn. The covers is very thin and comfortable, cleans the air while protecting from UV rays. 💨Comfortable fabric: Three layers of fabric helps create a comfortable barrier for nose and mouth.It has an adjustable nose clip and elastic earloop, you can wear it for a long time.It can be adjusted according to your face to make it fit better. 💨Package includes: Four different colors can be matched with various fashion clothes. Valentine's Day is approaching, it is the best gift for female friends. For a variety of locations, such as commuting, schooling, cleaning, gardening, hiking and outdoor activities.","large, adult, ",,cotton,filter pocket,womens,reusable,adjustable,7
556,556,/DALIX-Cloth-Reusable-Washable-Assorted/dp/B08GBYPZBF/ref=sr_1_403?dchild=1&keywords=face+mask&qid=1618899365&s=hpc&sr=1-403,DALIX Cloth Face Mask Reusable Washable Made in USA Dark Assorted L-XL (3 Pack),,4.5 out of 5 stars,90 ratings,In Stock.," 100% Cotton Made in USA Breathable and Soft Reuseable and Washable Fits Large and Extra Large Faces, Adjustable Ear Loops Comes in a Pack of 3 Qty - 1 Black , 1 Navy Blue , and 1 Charcoal Gray - Face Masks * This product has not been FDA-cleared or approved *","large, ",various,cotton,,unisex,reusable,adjustable,7
550,550,/Copper-Infused-Filter-Protection-Adjustable/dp/B08SQRPX8C/ref=sr_1_397?dchild=1&keywords=face+mask&qid=1618899365&s=hpc&sr=1-397,"Copper Infused Face Mask With Extra Filter Pocket Protection Layer, Adjustable Ear Loops & Nose Wire - Reusable, Washable, 3D Fit for Men and Women (2-Pack, Black, Large)",,4.6 out of 5 stars,14 ratings,Only 4 left in stock - order soon.," Copper Infused Fabric Adjustable closure COPPER HIGH TECH TECHNOLOGY - 100% High Quality Copper Ion Infused into the fabric EXTRA FILTER POCKET - Double your protection level by adding a 2.5 PM filter inside the inner pocket (sold separately) ALL THE BEST FEATURES IN 1 MASK - 3D face structure with inner cool air flow for easy breathing, nose bridge & chin support for Secure Fit, adjustable ear loops, 100% cotton cloth for smooth, Durable and lightweight feeling SAFER FOR LONGER - Reusable, Washable, Sustainable CDC RECOMMENDATION : Take care of yourself and your loved ones! Wear a Mask!","large, ",black,cotton,filter pocket,unisex,reusable,adjustable,7
641,641,/Reusable-3-Ply-Cloth-Face-Mask/dp/B08THJV9H2/ref=sr_1_464?dchild=1&keywords=face+mask&qid=1618899566&s=hpc&sr=1-464,"Reusable 3-Ply Cloth Face Mask - Washable Breathable Comfortable Fabric Mask with Nose Wire and Filter Pocket, Adjustable Ear Loops (Black, Large for Adults)",,4.5 out of 5 stars,38 ratings,In Stock.," SOLVED ALL INCONVENIENCES - Durability, Size to fit adult face, Using High-quality 3-Ply fabrics, Nose wire clip, Pocket for Filters, Adjustable length of ear loops, Elastic ear loops, Clean packaging. LONG-LASTING PREMIUM MASK - Our face mask that is designed with Rust-Proof Nose wire, 3-Ply High-Quality Durable fabrics for maximum comfort can be used for a long time. FITS ON YOUR FACE - Our face mask has a Nose wire clip for anti-fogging on the glasses, Silicone stopper for adjustable ear loop length. You can adjust them to fit your face. MADE WITH QUALITY MATERIALS - Special coated copper nose wire clip will not rust even after several washing. Elastic ear loops maintain a comfortable fit even if worn for a long time. The silicone ear loop stopper is soft and integrated with the ear loop. so you won't lose it. BREATHABLE DESIGNED FOR EVERYDAY USE - It can be worn in everyday life such as indoor/outdoor. It is designed with a Breathable three-dimensional design, so you can breathe comfortably.","large, adult, ",black,,filter pocket,unisex,reusable,adjustable,6
516,516,/Washable-Reusable-Face-Masks-Protections/dp/B08Z1ZF65D/ref=sr_1_371?dchild=1&keywords=face+mask&qid=1618899298&s=hpc&sr=1-371,"WITH U Washable Reusable Face Masks - 3-Layer Protections, Adjustable Ear Loops, Designer Prints - Made in USA",,5.0 out of 5 stars,13 ratings,In Stock.," Made in the USA Machine Wash HALF INCH LARGER SURFACE: Larger half-inch makes a huge difference. The mask surface, which is half an inch larger, improves wearability and makes breathing more comfortable. DURABILITY: Strong durability is the key to long-standing mask reuse. The WITH U mask has durability to overcome washing and drying several times through a stress test. PREMIUM FABRIC: WITH U Face Mask is a Three-Layer Design – Outer layer High-End Polyester Fabric, Dual Inner Layer High thread-count Cotton Blend (Made in USA) – High-quality, lightweight fabric on the skin provides maximum comfort. The adjustable ear loop is comfortable and safe to wear. SIZING: Standard size for men and women with adjustable ear loops / 7"" (L) x 5.5"" (H), Ear Straps: 3"" / Non-Medical Mask CARE INSTRUCTION: Launder recommended before first use. Hand wash cold. Do not bleach. Do not iron. Hang dry.","large, ",,mixed material,,unisex,reusable,adjustable,6
131,131,/Reusable-Adjustable-Protective-Protector-Black-5Pcs/dp/B08B4VKY82/ref=sr_1_101?dchild=1&keywords=face+mask&qid=1618898461&s=hpc&sr=1-101,Reusable Cotton Adjustable Adult Protective Face Protector,,4.2 out of 5 stars,"4,433 ratings",In Stock.," Reusable: Washable and reusable protective barrier, no need to disassemble. Suitable for adults with larger faces. Safety and protection:5 pack , effectively protect you against dusts, allergens, fog haze, splattering liquids or mists, anti-odor. Also perfect daily wear in allergy season Wide Application: Ideal for both women and men, suitable for cycling, camping, running, travel, climbing and daily use. Protect you from fog, vehicle exhaust etc. Elastic adujustable ear loop to secure the face protector in place and customized face-fit for most adults. Perfect cover the nose to the chin in all day comfort, also keep look stylish Prompt : Our products are shipped from Amazon, if you have any questions during use, please feel free to contact us, we will reply you within 24 hours.","large, adult, ",,cotton,,unisex,reusable,elastic,6
227,227,/Maxboost-Fabric-Face-Mask-Reusable/dp/B089QZ989W/ref=sr_1_164?dchild=1&keywords=face+mask&qid=1618898676&s=hpc&sr=1-164,"Maxboost Fabric Face Mask - Pack of 3 (X-Large Size) 2 Layer, Reusable, Washable Summer Mask Cover - Black",,4.3 out of 5 stars,"11,803 ratings",In Stock.," Designed For All Season - Made from Standard_100 by OEKO-TEX certified fabric (often found within baby apparel), the mask provides a comfortable fit that conforms to the face for an ultra-soft wearing experience. Facilitates simple breathing for long work hours and shifts, daily walks and exercise, and more. 2-Layered Filter - 2 unique layers of soft worn fabric for a real reliable protective mask that will adhere to outdoor mask guidelines. Help decrease the risk of inhaling dust, dirt, and so much more during daily activities. (Note: the fabric layers are made of polyester and elastane.) 3D Design & Nose Wire - A 3D curved design with center stitching leaves sufficient space between the mouth and mask for easy breathing. Users will not “eat” the mask while talking. A unique nose bridge wire offers a snug and secure fit across the bridge of the nose which helps decrease “slipping”. Fits & Adjustable - One size for all. Designed as a universal and unisize fit. Just wrap the adjustable ear loops around both ears for a snug and secure feel. All masks conform comfortably around the facial area for a supportive and protective overall fit. Reusable masks - The included 3 masks can be washed in warm water and used on daily basis.","universal, large, x-large, ",various,polyester,,unisex,reusable,adjustable,6
91,91,/Craft-Soul-Reusable-Washable-Comfortable/dp/B08BDG1H4R/ref=sr_1_69?dchild=1&keywords=face+mask&qid=1618898393&s=hpc&sr=1-69,(5 Pack Pieces per Box) Craft & Soul Mattana Face Mask Cover Reusable Washable Comfortable Fabric Cloth,$11.90 ,4.3 out of 5 stars,"9,911 ratings",In Stock.," General Use - This is a general purpose face mask. Not intended for medical use. Each box contains 5 pieces. Made In Vietnam. Quality Construction - The quality fabric, stitching, ear straps, and fit are designed for comfort and durability. Made by the same skilled apparel workers that make Craft & Soul Men's Clothing. Craft & Soul is a U.S. based brand with manufacturing in Vietnam. Craft & Soul is available exclusively on Amazon. Comfortable - Made of high quality 2-Ply 35% Cotton/65% Poly blend knitted fabric. Soft texture and comfortable stretchable fabric that fits closely along the face. Breathable two layer design won't fog glasses. Washable & Reusable - Easy to care for and can be used repeatedly. One size which fits most men and women comfortably with excellent close fit. CDC recommends wearing cloth face coverings in public settings and washing after each use. You can wash and dry with your regular laundry.",universal,,cotton,2-ply,unisex,reusable,elastic,5
219,219,/New-Republic-Washable-Reusable-Regular/dp/B0876HQ55Q/ref=sr_1_156?dchild=1&keywords=face+mask&qid=1618898676&s=hpc&sr=1-156,New Republic Made in USA White - 3 Pack Face Masks | Washable and Reusable | 2-Ply 100% Cotton Facemask,,4.1 out of 5 stars,"25,863 ratings",In Stock.," SIZE: One size fits most. W: 6.25"" H: 4.25"" FABRIC: 100% 2 ply cotton CARE: Wash before first use. Machine wash cold. Do not bleach. Do not dry clean. Tumble dry low or lay flat to dry to avoid shrinkage. ORIGIN: Los Angeles, California","one size fits most, ",,cotton,2-ply,unisex,reusable,,5
